iso	country	year	eq_tr	r_eq_tr	housing_tr	r_housing_tr	dc
FIN	Finland	2001	-0.30625	-0.32426	0.05510	0.02771	0.016355344
FIN	Finland	2002	-0.32820	-0.34141	0.15280	0.13012	0.012146188
FIN	Finland	2003	0.08504	0.07123	0.12875	0.11437	0.041436994
FIN	Finland	2004	0.07573	0.07415	0.13543	0.13377	0.030462872
FIN	Finland	2005	0.35206	0.34167	0.12349	0.11486	0.03728714
FIN	Finland	2006	0.21827	0.20293	0.14277	0.12838	0.05648162
FIN	Finland	2007	0.25042	0.23093	0.11313	0.09578	0.023933
FIN	Finland	2008	-0.51307	-0.53142	0.06503	0.02489	0.010327824
FIN	Finland	2009	0.26212	0.24183	0.06463	0.04752	-0.023991115
FIN	Finland	2010	0.23452	0.21405	0.14894	0.12989	0.025960915
FIN	Finland	2011	-0.27021	-0.29369	0.08610	0.05116	0.024185669
FIN	Finland	2012	0.14103	0.10606	0.08212	0.04895	-0.000917437
FIN	Finland	2013	0.32243	0.29376	0.07091	0.04770	-0.009792068
FIN	Finland	2014	0.10743	0.09420	0.05041	0.03786	0.001911478
FIN	Finland	2015	0.14864	0.15043	0.04998	0.05162	0.01272785
FRA	France	1950	-0.15076	-0.22698	0.13528	0.03339	
FRA	France	1951	0.44295	0.23681	0.20334	0.03143	0.067440822
FRA	France	1952	0.13945	0.01657	0.26605	0.12951	0.031380753
FRA	France	1953	0.23160	0.25623	0.20164	0.22567	0.032860041
FRA	France	1954	1.15856	1.15856	0.20701	0.20701	0.031029065
FRA	France	1955	-0.03663	-0.04617	0.28556	0.27284	0.045333333
FRA	France	1956	0.03151	0.00175	0.36678	0.32735	0.049562682
FRA	France	1957	0.14294	0.09051	0.31685	0.25644	0.037847222
FRA	France	1958	-0.08519	-0.20229	0.30130	0.13474	-0.006691201
FRA	France	1959	0.26739	0.19115	0.28426	0.20701	0.01077804
FRA	France	1960	-0.07178	-0.10541	0.29588	0.24893	0.041986005
FRA	France	1961	0.04901	0.01946	0.21461	0.18040	0.048289095
FRA	France	1962	-0.10588	-0.14788	0.22994	0.17216	0.054606467
FRA	France	1963	-0.18257	-0.21925	0.30464	0.24610	0.055828753
FRA	France	1964	-0.07981	-0.10838	0.30275	0.26229	0.045479452
FRA	France	1965	-0.04782	-0.07650	0.27716	0.23869	0.030922432
FRA	France	1966	-0.17162	-0.19238	0.16280	0.13366	0.03990849
FRA	France	1967	-0.02192	-0.04873	0.11748	0.08685	0.04204351
FRA	France	1968	0.17395	0.12284	0.13682	0.08732	0.035186488
FRA	France	1969	0.23662	0.16619	0.16694	0.10048	0.057783821
FRA	France	1970	-0.08762	-0.13801	0.10162	0.04078	0.035132819
FRA	France	1971	-0.05679	-0.10509	0.12105	0.06364	0.044701987
FRA	France	1972	0.16952	0.10267	0.15143	0.08561	0.04199683
FRA	France	1973	-0.03170	-0.09826	0.16595	0.08581	0.051140684
FRA	France	1974	-0.27135	-0.35886	0.20613	0.06127	0.028214867
FRA	France	1975	0.31950	0.18144	0.17482	0.05190	0.012664908
FRA	France	1976	-0.11293	-0.19082	0.21345	0.10690	0.050373458
FRA	France	1977	-0.16803	-0.24017	0.20353	0.09917	0.021829006
FRA	France	1978	0.62094	0.48369	0.16457	0.06597	0.033500566
FRA	France	1979	0.09008	-0.01481	0.17869	0.06527	0.023802067
FRA	France	1980	0.08802	-0.04172	0.24535	0.09685	0.008412359
FRA	France	1981	-0.11161	-0.21613	0.15449	0.01867	0.015319278
FRA	France	1982	0.10402	-0.01408	0.09997	-0.01769	0.026590977
FRA	France	1983	0.58669	0.44957	0.09670	0.00192	0.003346915
FRA	France	1984	0.14484	0.06325	0.08575	0.00837	0.002900653
FRA	France	1985	0.37106	0.29552	0.08086	0.02130	0.015762834
FRA	France	1986	0.38241	0.34819	0.09533	0.06822	0.031605923
FRA	France	1987	-0.23759	-0.26186	0.12045	0.08477	0.027325421
FRA	France	1988	0.62350	0.58081	0.15703	0.12660	0.026061257
FRA	France	1989	0.30861	0.26438	0.16734	0.12789	0.020162346
FRA	France	1990	-0.21963	-0.24515	0.13181	0.09481	0.019122177
FRA	France	1991	0.16629	0.12994	0.09423	0.06013	0.001511145
FRA	France	1992	0.04760	0.02339	0.01849	-0.00505	0.0038979
FRA	France	1993	0.36441	0.33627	0.03063	0.00937	-0.008642285
FRA	France	1994	-0.14313	-0.15713	0.04513	0.02806	0.010107391
FRA	France	1995	0.01892	0.00112	0.03917	0.02102	0.012632896
FRA	France	1996	0.30595	0.28029	0.05859	0.03779	0.012475296
FRA	France	1997	0.27768	0.26171	0.04536	0.03229	0.00146395
FRA	France	1998	0.31297	0.30412	0.07247	0.06524	0.035083445
FRA	France	1999	0.55628	0.54735	0.11905	0.11263	0.030834412
FRA	France	2000	0.00534	-0.01257	0.13620	0.11597	0.031510446
FRA	France	2001	-0.19238	-0.20652	0.12331	0.10364	0.020254566
FRA	France	2002	-0.29273	-0.30618	0.12906	0.10758	0.01529616
FRA	France	2003	0.21223	0.18646	0.15775	0.13314	0.012287638
FRA	France	2004	0.12998	0.10423	0.18774	0.16067	0.019843783
FRA	France	2005	0.28433	0.26053	0.18682	0.16483	0.016559718
FRA	France	2006	0.22561	0.20280	0.14980	0.12841	0.018122582
